Anrede,Titel,Vorname,Nachname,Adresse,Firma,E-Mail,Telefon-Nr.,Geburtstag
Frau,,Sofia,Roskoth,"Heßring 74, 44944 Hannoversch Münden",Stahr,sofia.roskoth@stahr.eu,04315 76126,31.08.1952
Herr,,Noah,Sorgatz,"Marita-Dehmel-Gasse 36, 79952 Nördlingen",Schmiedecke,noah.sorgatz@schmiedecke.de,+49(0)6288382155,23.04.1987
Herr,,Michael,Neuschäfer,"Aleksej-Speer-Ring 62, 92663 Grevenbroich",Barth AG & Co. OHG,michael.neuschaefer@barthag.com,05857785890,09.02.1963
Frau,,Maria,Christoph,"Gaetano-Stroh-Straße 77, 74957 Parchim",Berger Naser GmbH & Co. OHG,maria.christoph@bergernaser.eu,+49 (0) 7158 822834,24.03.1986
Herr,,Max,Fiebig,"Ljudmila-Keudel-Weg 24, 04584 Kusel",Röhricht,max.fiebig@roehricht.eu,(04178) 33964,27.01.1985
Frau,,Marie,Scholl,"Möchlichenallee 70, 25280 Bergzabern",Trüb Krause GbR,marie.scholl@trueb_krause.com,02285 43098,03.02.1982
Frau,,Heidi,Fritsch,"Ilja-Juncken-Platz 63, 66289 München",Radisch,heidi.fritsch@radisch.de,04839 39692,24.01.2001
Frau,,Carla,Vollbrecht,"Ignatz-Mies-Straße 67, 05349 Sankt Goar",Neuschäfer GbR,carla.vollbrecht@neuschaefer_gbr.com,+49(0) 204539283,22.05.1996
Frau,,Anna,Löffler,"Walli-Schüler-Weg 49, 20055 Säckingen",Killer KG,anna.loeffler@killer-kg.eu,04478336083,13.09.1964
Herr,,Lucas,Jäkel,"Arzu-Hartung-Weg 91, 71531 Pinneberg",Herrmann GbR,lucas.jaekel@herrmann_gbr.eu,09211 600077,26.01.1991
Frau,,Anna,Thanel,"Reginald-Baum-Platz 15, 58905 Teterow",Ebert,anna.thanel@ebert.eu,02654 75362,03.03.1985
Frau,,Charlotte,Bärer,"Rolf-Dieter-Lindau-Straße 81, 99713 Weißwasser",Wilmsen,charlotte.baerer@wilmsen.com,04981500403,06.03.1993
Herr,,Max,Dobes,"Erwin-Rosemann-Platz 64, 88782 Wolgast",Hesse,max.dobes@hesse.com,+49 (0) 1366 540084,06.05.1966
Herr,,Philipp,Liebelt,"Stephan-Reising-Weg 43, 77995 Spremberg",Christoph Kramer GmbH,philipp.liebelt@christophkramer.de,03565 789347,27.02.1972
Herr,,Lucas,Bloch,"Fröhlichstr. 28, 42581 Großenhain",Atzler,lucas.bloch@atzler.de,(01892) 30297,26.07.1988
Frau,,Sophie,Hartung,"Ernstplatz 64, 38491 Nauen",Schönland GbR,sophie.hartung@schoenland-gbr.com,0151516248,23.08.1992
Herr,Dr.,Jonas,Wernecke,"Niemeierplatz 93, 68138 Lübz",Hölzenbecher,jonas.wernecke@hoelzenbecher.eu,06183 472830,12.09.1988
Herr,Prof. Dr.,Philipp,Kreusel,"Ruppersbergerstr. 89, 55348 Norden",Beier AG & Co. OHG,philipp.kreusel@beier-ag.com,(00294) 065888,30.04.2004
Herr,,Jonas,Reising,"Ernst-August-Gute-Ring 79, 85179 Königs Wusterhausen",Eckbauer,jonas.reising@eckbauer.com,+49 (0) 0772 946746,24.08.1970
Herr,,Peter,Schmidt,"Ferenc-Ullrich-Allee 30, 55251 Eisenhüttenstadt",Mans,peter.schmidt@mans.de,(04538) 24470,15.11.1994
Frau,,Sofia,Johann,"Gundi-Heinrich-Gasse 4, 31602 Lippstadt",Junk AG,sofia.johann@junk-ag.com,03847 50798,28.11.1962
Herr,,Philipp,Mohaupt,"Caroline-Jessel-Gasse 7, 57558 Neustadtner Waldnaab",Werner,philipp.mohaupt@werner.com,03854137316,25.03.2005
Frau,,Maria,Kreusel,"Kunigunda-Berger-Platz 91, 33785 Mühlhausen",Plath,maria.kreusel@plath.com,09595147131,23.12.1971
Frau,,Marie,Thanel,"Weißallee 59, 18459 Euskirchen",Baum,marie.thanel@baum.eu,(06193) 209341,26.04.1961
Frau,,Laura,Hartung,"Laura-Neureuther-Straße 23, 39816 Mayen",Thies AG,laura.hartung@thies-ag.eu,+49 (0) 5982 102461,10.07.1992
Frau,,Sophie,Etzler,"auch Schlauchinstr. 57, 69833 Flöha",Winkler Kusch AG,sophie.etzler@winkler-kusch.de,+49(0)3175114152,10.12.1964
Herr,,Lucas,Bähr,"Pechelstr. 20, 42852 Monschau",Jacobi Jäckel e.V.,lucas.baehr@jacobijaeckel.de,0710988927,02.02.1986
Frau,Dr.,Charlotte,Briemer,"Eugenie-Schuchhardt-Platz 61, 35384 Wolgast",Drubin,charlotte.briemer@drubin.de,+49 (0) 0703 096064,07.09.1977
Herr,,Noah,Scholtz,"Kranzplatz 65, 07771 Rottweil",Beier,noah.scholtz@beier.de,+49 (0) 8808 722379,28.11.1961
Herr,,Max,Bähr,"Ernst-August-Stahr-Platz 38, 48901 Peine",Gunpf,max.baehr@gunpf.com,09532 04850,23.09.1983
Frau,,Laura,Wernecke,"Dobesstr. 49, 07723 Lübeck",Hein Fechner GmbH,laura.wernecke@hein-fechner.eu,+49(0) 445354336,12.11.1999
Frau,,Carla,Geißler,"Sabri-Mülichen-Gasse 87, 01843 Bischofswerda",Henschel,carla.geissler@henschel.de,+49(0)1625 62645,03.07.1993
Herr,,Michael,Wulff,"Wielochweg 60, 62490 Lüdinghausen",Jacob,michael.wulff@jacob.de,05729720984,14.08.1986
Frau,Dr.,Maria,Mitschke,"Ditschlerinring 55, 06098 Pößneck",Mühle e.V.,maria.mitschke@muehlee.v..com,(07174) 71136,31.01.1990
Frau,,Sofia,Häring,"Xenia-Ullmann-Straße 23, 60473 Osterode am Harz",Salz,sofia.haering@salz.com,07609 88490,05.02.1994
Frau,,Agnes,Trubin,"Necati-Grein Groth-Platz 75, 22026 Greiz",Geisel AG,agnes.trubin@geiselag.eu,+49(0) 318849882,18.07.2002
Herr,,Dieter,Dobes,"Ramona-Mangold-Gasse 61, 74496 Sangerhausen",Scholl GmbH,dieter.dobes@schollgmbh.com,07474 642014,20.12.1977
Herr,,Michael,Hecker,"Mario-Flantz-Ring 18, 60584 Soltau",Adolph,michael.hecker@adolph.eu,(06035) 267145,28.11.1968
Herr,,Max,Geißler,"Speergasse 4, 43915 Dachau",Schacht,max.geissler@schacht.com,04155 44457,17.01.1982
Frau,,Eva,Gorlitz,"Weitzelallee 26, 04570 Saarbrücken",Heuser AG,eva.gorlitz@heuser_ag.de,+49(0)8262067406,11.12.1990
Frau,,Sofia,Lange,"Silva-Wulf-Gasse 54, 70883 Koblenz",Hentschel,sofia.lange@hentschel.com,+49(0)3598 529185,04.08.2004
Herr,,Ben,Jäkel,"Friedemann-Kraushaar-Allee 58, 54983 Bruchsal",Warmer,ben.jaekel@warmer.com,(09401) 954616,24.09.1984
Herr,,Lucas,Dowerg,"Hessestr. 19, 41698 Freudenstadt",Hamann,lucas.dowerg@hamann.eu,+49 (0) 7816 119964,26.10.1982
Herr,Dr.,Philipp,Haase,"Heinz-Werner-Rohleder-Platz 54, 48744 Ravensburg",Etzler e.V.,philipp.haase@etzler-e.v..com,+49(0)6432 65438,09.09.1990
Herr,,Philipp,Kambs,"Heino-Pärtzelt-Ring 1, 47526 Gifhorn",Hamann OHG mbH,philipp.kambs@hamann-ohg.de,+49(0) 329354229,24.09.1960
Herr,,Markus,Weiß,"Schmiedeckestr. 47, 76263 Lüdinghausen",Bauer Kitzmann GmbH & Co. OHG,markus.weiss@bauerkitzmann.com,+49 (0) 1530 503507,31.07.1974
Frau,,Anna,Stolze,"Eva-Baum-Platz 41, 94648 Eisenberg",Rohleder Karz AG & Co. KGaA,anna.stolze@rohleder-karz.com,0186670394,09.09.1953
Herr,,Paul,Hübel,"Schachtallee 29, 64837 Zschopau",Wähner AG,paul.huebel@waehner-ag.com,03974 53356,31.03.1985
Frau,,Sophie,Dowerg,"Eberthweg 32, 66223 Staffelstein",Gröttner Sorgatz KG,sophie.dowerg@groettner-sorgatz.eu,01826 19789,23.11.1966
Frau,,Maria,Briemer,"Florence-Beer-Ring 12, 27429 Neu-Ulm",Freudenberger,maria.briemer@freudenberger.de,+49(0) 535188863,09.02.1976
Herr,,Max,Staude,"Grein Grothgasse 15, 33070 Lüneburg",Berger Schottin AG,max.staude@bergerschottin.com,+49(0)0660964318,19.02.1956
Herr,Dr.,Max,Löffler,"Pohlstr. 91, 87250 Burgdorf",Birnbaum AG,max.loeffler@birnbaum-ag.eu,+49(0)2854370681,20.05.1985
Frau,,Inge,Schuchhardt,"Budigallee 73, 53746 Osterode am Harz",Bloch GmbH,inge.schuchhardt@bloch-gmbh.de,(03593) 07251,10.08.1980
Frau,Prof. Dr.,Antje,Girschner,"Rohlederallee 76, 70797 Auerbach",Heidrich,antje.girschner@heidrich.com,+49(0)0659 611765,06.11.1957
Frau,,Antje,Wulff,"Lucie-Neuschäfer-Straße 63, 84378 Siegen",Stey,antje.wulff@stey.com,06259 77839,30.09.1986
Frau,,Charlotte,Weller,"Zlatko-auch Schlauchin-Allee 63, 19254 Lübz",Aumann,charlotte.weller@aumann.eu,+49(0)9643 93835,23.05.1999
Frau,,Sophie,Löwer,"Wulffring 95, 44077 Stadtsteinach",Sauer AG,sophie.loewer@sauer_ag.de,+49(0) 833676663,13.03.1974
Frau,,Sofia,Ziegert,"Lambert-Sauer-Platz 95, 25716 Jessen",Girschner,sofia.ziegert@girschner.de,+49(0)2312282029,24.08.1990
Frau,,Anna,Fiebig,"Tlustekring 93, 64692 Erfurt",Heuser GmbH,anna.fiebig@heuser-gmbh.de,0998267348,27.06.1983
Herr,Dr.,Markus,Lange,"Renata-Jockel-Platz 60, 25063 Soest",Pergande Ebert AG,markus.lange@pergande_ebert.com,04008 685174,15.01.1966
Frau,,Maria,Liebelt,"Paffrathweg 24, 26366 Konstanz",Davids,maria.liebelt@davids.eu,+49(0) 278430706,11.09.1953
Frau,,Emma,Pruschke,"Danny-Dowerg-Gasse 42, 39023 Regensburg",Scheuermann KG,emma.pruschke@scheuermannkg.com,+49(0)3654 825335,15.10.1977
Frau,,Charlotte,Mohaupt,"Elke-Juncken-Gasse 18, 97417 Staßfurt",Ruppersberger,charlotte.mohaupt@ruppersberger.de,01864 06733,08.01.1996
Frau,,Inge,Tlustek,"Bayram-Benthin-Allee 9, 94371 Kamenz",Segebahn Scholl e.V.,inge.tlustek@segebahnscholl.eu,0677880199,18.08.1984
Herr,,Noah,Hesse,"Klingelhöferweg 42, 29772 Kemnath",Mans GmbH & Co. OHG,noah.hesse@mansgmbh.eu,02192 636130,26.11.1967
Frau,,Charlotte,Staude,"Kühnertstr. 23, 57555 Regen",Lange Roskoth KG,charlotte.staude@lange_roskoth.com,01934063438,03.03.1955
Herr,,Philipp,Sontag,"Lindnerweg 92, 38552 Hagenow",Börner Täsche AG,philipp.sontag@boerner_taesche.eu,+49(0) 698059827,27.08.1975
Frau,Prof. Dr.,Antje,Stumpf,"Mangoldstraße 27, 80584 Kulmbach",Hornich,antje.stumpf@hornich.eu,00400 476280,06.01.1993
Frau,,Sophie,Eimer,"Müllerplatz 71, 40270 Stade",Thies,sophie.eimer@thies.com,+49(0) 322550312,18.12.1967
Frau,,Charlotte,Thies,"Gesine-Oestrovsky-Allee 14, 27312 Bad Liebenwerda",Reinhardt Schmiedecke GmbH,charlotte.thies@reinhardt_schmiedecke.de,+49(0)3367137834,12.04.1975
Frau,,Heidi,Reising,"Thaddäus-Fliegner-Weg 15, 03066 Freital",Nerger Schäfer Stiftung & Co. KGaA,heidi.reising@nergerschaefer.de,04924 112631,06.04.1954
Frau,,Anna,Tschentscher,"Damian-Ritter-Straße 19, 42596 Passau",Schleich Stiftung & Co. KG,anna.tschentscher@schleich_stiftung.com,(03205) 16900,07.01.1979
Frau,,Laura,Rosenow,"Desiree-Sontag-Ring 44, 42915 Peine",Höfig GmbH & Co. KGaA,laura.rosenow@hoefiggmbh.eu,04116584962,09.10.1964
Frau,,Antje,Schmidt,"Seifertstr. 23, 24531 Dachau",Hänel GmbH,antje.schmidt@haenelgmbh.com,+49(0) 683953549,19.04.1975
Frau,,Carla,Jacob,"Junkenstraße 5, 98588 Wolfratshausen",Hölzenbecher,carla.jacob@hoelzenbecher.de,(00013) 387655,13.03.2000
Frau,,Carla,Hendriks,"Köhlerstraße 28, 48529 Bad Mergentheim",Ziegert Schacht OHG mbH,carla.hendriks@ziegertschacht.de,06124 907968,27.10.1995
Herr,,Michael,Blümel,"Margrafstr. 82, 36645 Forchheim",Gude,michael.bluemel@gude.eu,+49(0)5908983329,24.01.1960
Herr,,Paul,Geißler,"Nathalie-Schenk-Ring 30, 17493 Lichtenfels",Patberg,paul.geissler@patberg.com,+49(0) 586894199,29.04.1960
Herr,,Jonas,Lehmann,"Brian-Mülichen-Gasse 45, 95928 Fulda",Dussen van,jonas.lehmann@dussen-van.com,01191436007,07.11.1998
Herr,,Markus,Anders,"Isa-Hertrampf-Platz 16, 04273 Mallersdorf",Baum Dobes GmbH & Co. KG,markus.anders@baum_dobes.eu,06508720073,30.03.1990
Herr,,Dieter,Klemm,"Stephen-Ebert-Ring 29, 60136 Husum",Boucsein,dieter.klemm@boucsein.com,+49(0)8951819075,13.11.1995
Herr,,Rudolf,Junken,"Sigfried-Gertz-Allee 89, 02971 Stuttgart",Grein Groth Bohnbach AG & Co. KG,rudolf.junken@grein-groth.com,(06887) 644235,20.06.1968
Herr,,Lucas,Ziegert,"Liebeltallee 48, 77273 Waren",Etzler,lucas.ziegert@etzler.com,03895443842,29.05.1991
Herr,,Michael,Hoffmann,"Günther-Hein-Straße 26, 37991 Forst",Putz Bonbach AG,michael.hoffmann@putzbonbach.com,+49(0)5852 623856,02.10.1973
Frau,,Agnes,Christoph,"Eckhard-Neureuther-Allee 52, 96696 Ueckermünde",Fliegner Eigenwillig GmbH,agnes.christoph@fliegner-eigenwillig.com,+49(0) 962595174,09.02.1954
Herr,,Michael,Baum,"Nikolas-Trubin-Allee 15, 70152 Steinfurt",Harloff Binner GmbH,michael.baum@harloff-binner.de,+49(0)1938 36432,21.08.1982
Frau,,Carla,Bähr,"Flantzgasse 43, 55856 Dinkelsbühl",Tlustek,carla.baehr@tlustek.eu,(08094) 445663,04.09.2004
Herr,,Justus,Pruschke,"Hendriksweg 86, 35253 Berchtesgaden",Mende Wagenknecht Stiftung & Co. KG,justus.pruschke@mendewagenknecht.com,09530 33482,18.04.1991
Frau,,Anna,Paffrath,"Luisa-Geißler-Weg 92, 45622 Freising",Schäfer,anna.paffrath@schaefer.de,+49(0) 890279001,30.09.1978
Frau,,Sofia,Bähr,"Rudolf-Trub-Gasse 15, 88101 Jülich",Hethur e.V.,sofia.baehr@hethur-e.v..com,03653 05279,19.06.1971
Herr,,Dieter,Geißler,"Heinz-Günther-Seidel-Weg 31, 05386 Waren",Dehmel KG,dieter.geissler@dehmel_kg.com,(05783) 337773,23.10.1958
Frau,,Eva,Bolander,"Täschegasse 78, 13764 Havelberg",Wieloch,eva.bolander@wieloch.com,09866 61538,12.02.1973
Frau,,Sophie,Benthin,"Roseplatz 7, 15901 Soltau",Hiller KG,sophie.benthin@hillerkg.eu,+49(0)9808 93629,16.06.2004
Frau,,Carla,Geißler,"Michael-Mosemann-Allee 66, 54243 Celle",Sontag Henk AG,carla.geissler@sontag-henk.com,09450 99547,06.08.1983
Herr,,Lucas,Johann,"Gröttnerstr. 16, 95686 Borken",Wirth,lucas.johann@wirth.de,(01117) 122552,23.04.1995
Herr,,Rudolf,Klemm,"Gertraude-Schleich-Gasse 53, 90156 Staffelstein",Schomber,rudolf.klemm@schomber.de,04565 552650,02.04.1982
Frau,,Inge,Trubin,"Krebsstraße 75, 51756 Ravensburg",Wagner GmbH & Co. KG,inge.trubin@wagner-gmbh.de,+49(0)8233 689465,18.11.1997
Frau,,Maria,Holt,"Lambert-Wende-Gasse 51, 66155 Kaiserslautern",Fritsch GbR,maria.holt@fritsch_gbr.de,+49 (0) 9687 557557,27.03.2005
Frau,,Agnes,Schönland,"Ekrem-Hölzenbecher-Gasse 88, 70432 Roth",Girschner,agnes.schoenland@girschner.com,+49(0)9373335444,28.09.1976
Herr,,Rudolf,Mülichen,"Meyerweg 54, 26718 Ochsenfurt",Harloff GmbH,rudolf.muelichen@harloffgmbh.eu,(03433) 123232,13.03.1970
Herr,,Peter,Dowerg,"Hans Dieter-Nerger-Gasse 24, 43369 Eisenach",Jäkel Hein e.G.,peter.dowerg@jaekel_hein.de,+49 (0) 0913 772796,28.11.1956
Herr,,Michael,Bähr,"Elena-Schmiedt-Straße 44, 50000 Regensburg",Hänel Schweitzer GbR,michael.baehr@haenelschweitzer.eu,+49 (0) 3533 430432,24.12.1967
Frau,,Eva,Weller,"Hänelweg 98, 16291 Starnberg",Patberg GmbH,eva.weller@patberg_gmbh.eu,+49(0)7404 025619,11.09.1993
Frau,,Maria,Bärer,"Reisingallee 3, 64536 Bischofswerda",Scheel Rudolph KG,maria.baerer@scheelrudolph.de,08040 001631,10.08.1953
Herr,,Paul,Liebelt,"Plathring 62, 37418 Ansbach",Drewes GmbH & Co. KG,paul.liebelt@drewesgmbh.com,(09088) 219173,23.08.1999
Frau,,Sofia,Paffrath,"Schuchhardtallee 31, 75069 Siegen",Harloff Schmidt GmbH & Co. KG,sofia.paffrath@harloff-schmidt.eu,(04180) 715689,19.02.1953
Frau,,Marie,Faust,"Silke-Förster-Platz 75, 93016 Hamburg",Lehmann,marie.faust@lehmann.de,02236 48410,27.05.2003
Frau,,Anna,Bärer,"Barbara-Trapp-Ring 17, 33757 Böblingen",Davids,anna.baerer@davids.eu,(08928) 697159,15.04.1983
Frau,Dr.,Sophie,Ruppert,"Marisa-Gierschner-Platz 39, 35157 Viersen",Oestrovsky Sontag AG,sophie.ruppert@oestrovsky_sontag.de,+49 (0) 8165 660193,12.04.1975
Frau,,Maria,Lange,"Ingrid-Staude-Weg 42, 43616 Crailsheim",Graf GmbH & Co. KGaA,maria.lange@graf_gmbh.de,0582160544,22.02.1984
Frau,,Agnes,Kambs,"Max-Köhler-Platz 58, 73864 Rehau",Pölitz Ring GmbH & Co. KG,agnes.kambs@poelitz_ring.de,04114 04775,12.05.2000
Frau,,Carla,Ehlert,"Eigenwilligstr. 41, 79367 Viechtach",Blümel Beier GbR,carla.ehlert@bluemelbeier.de,05403 92006,20.04.1961
Herr,,Ben,Dowerg,"Janusz-Schmiedt-Weg 6, 09433 Northeim",Fiebig GbR,ben.dowerg@fiebig-gbr.com,+49(0)8605 239155,03.02.1963
Herr,,Justus,Döhn,"Kranzplatz 12, 47740 Naila",Henk AG,justus.doehn@henkag.eu,(02452) 30108,05.03.1985
Frau,,Laura,Schlosser,"Jockelweg 28, 72214 Meißen",Oderwald OHG mbH,laura.schlosser@oderwald-ohg.eu,(02852) 033074,19.10.1978
Frau,,Heidi,Geisel,"Adriana-Fliegner-Straße 86, 69022 Neuss",Jessel OHG mbH,heidi.geisel@jessel_ohg.eu,05929 230653,16.04.1973
Herr,,Michael,Bähr,"Yilmaz-Kreusel-Allee 39, 45001 Ingolstadt",Bachmann Stiftung & Co. KG,michael.baehr@bachmann-stiftung.eu,+49(0)5142 832588,02.12.1986
Frau,,Anna,Rosemann,"Gerhard-Rörricht-Straße 92, 46811 Eisenhüttenstadt",Dussen van,anna.rosemann@dussen-van.de,05455 54625,01.05.2004
Frau,,Sophie,Schuchhardt,"Siegbert-Textor-Allee 95, 39008 Füssen",Beer Kaul AG,sophie.schuchhardt@beer-kaul.de,(07662) 98616,20.08.2004
Herr,Dr.,Ralf,Knappe,"Marija-Finke-Allee 61, 05193 Wolfratshausen",Gierschner Geisel AG,ralf.knappe@gierschner-geisel.com,07824881404,19.04.1961
Frau,,Carla,Schlosser,"Tintzmannweg 17, 62064 Worbis",Krein,carla.schlosser@krein.com,+49(0)0565 74641,24.02.1969
Herr,Prof. Dr.,Paul,Klemm,"Gierschnerstraße 34, 15033 Calau",Fechner AG & Co. KGaA,paul.klemm@fechner_ag.eu,(03089) 918473,27.09.1988
Herr,,Philipp,Thies,"Römerring 65, 87762 Beilngries",Heidrich,philipp.thies@heidrich.de,05947061595,29.08.1966
Frau,,Marie,Scholz,"Sontagplatz 29, 65530 Hamburg",Gerlach,marie.scholz@gerlach.com,07469 353153,20.11.1956
Frau,,Agnes,Pruschke,"Ida-Reinhardt-Platz 76, 54862 Euskirchen",Zirme Weihmann AG,agnes.pruschke@zirme_weihmann.eu,(00919) 513889,16.06.1999
Herr,,Justus,Oestrovsky,"Gundolf-Döhn-Straße 27, 80406 Hechingen",Gorlitz Gertz AG & Co. OHG,justus.oestrovsky@gorlitz-gertz.com,01424422028,09.07.1992
Herr,,Michael,Lange,"Horst-Peter-Hettner-Platz 11, 73851 Meißen",Rudolph Finke GmbH,michael.lange@rudolphfinke.com,05831 925289,06.02.1970
Frau,,Charlotte,Schlosser,"Ellen-Anders-Weg 17, 62172 Bruchsal",Lorch,charlotte.schlosser@lorch.com,(04330) 729994,08.02.1956
Frau,,Marie,Mitschke,"Etzoldgasse 42, 48580 Fallingbostel",Ehlert,marie.mitschke@ehlert.com,+49(0)8984199530,17.03.1997
Herr,,Dieter,Geißler,"Hamannstraße 94, 32637 Hohenstein-Ernstthal",Mitschke AG,dieter.geissler@mitschke-ag.de,+49(0)7005393912,25.11.1961
Frau,,Emma,Baum,"Buchholzallee 40, 47459 Neustadt am Rübenberge",Schmiedt Radisch AG & Co. KG,emma.baum@schmiedtradisch.eu,+49(0) 236377838,04.02.2005
Herr,Dr.,Peter,Döring,"Henry-Löwer-Allee 26, 43849 Hersbruck",Weihmann Kraushaar AG & Co. KG,peter.doering@weihmann_kraushaar.eu,05292867317,22.05.1987
Frau,,Laura,Otto,"Rudolphstr. 79, 75806 Karlsruhe",Harloff Rogge AG & Co. KGaA,laura.otto@harloffrogge.de,(05415) 27059,01.12.1960
Frau,,Carla,Gierschner,"Magnus-Röhricht-Weg 68, 58273 Kelheim",Schmidt,carla.gierschner@schmidt.com,+49(0)8202358921,10.11.2004
Herr,,Rudolf,Rosemann,"Pedro-Löffler-Platz 10, 39311 Senftenberg",Benthin,rudolf.rosemann@benthin.de,03942462775,15.01.1968
Herr,,Philipp,Lindner,"Ullrich-Mans-Straße 10, 45410 Eggenfelden",Gumprich,philipp.lindner@gumprich.de,+49(0)7772522185,08.05.1971
Frau,,Inge,Jacobi Jäckel,"Schmidtkeallee 47, 84346 Königs Wusterhausen",Jungfer GmbH & Co. OHG,inge.jacobijaeckel@jungfer_gmbh.eu,(01269) 54215,14.10.1962
Herr,,Philipp,Ehlert,"Istvan-Peukert-Weg 29, 01784 Fallingbostel",Hölzenbecher,philipp.ehlert@hoelzenbecher.de,+49(0)1874894224,12.11.1986
Frau,,Heidi,Döhn,"Thilo-Kramer-Weg 97, 78872 Hannover",Gorlitz,heidi.doehn@gorlitz.com,0367097492,07.11.1985
Herr,,Ben,Reising,"Wirthweg 71, 72857 Hammelburg",Wagner Langern GbR,ben.reising@wagner-langern.com,(05261) 183196,11.09.1998
Frau,,Anna,Geißler,"Försterallee 76, 96117 Zossen",Wirth AG & Co. KGaA,anna.geissler@wirth_ag.com,+49(0)3346495387,07.11.1995
Herr,Prof. Dr.,Markus,Kabus,"Wernerplatz 92, 03728 Königs Wusterhausen",Hertrampf OHG mbH,markus.kabus@hertrampf-ohg.de,+49(0) 212262702,26.06.1956
Frau,,Sophie,Stolze,"Stephan-Etzold-Platz 42, 96080 Stuttgart",Sölzer Stiftung & Co. KGaA,sophie.stolze@soelzer-stiftung.eu,06589 714875,02.10.1967
Herr,,Peter,Langern,"Pechelgasse 12, 83281 Gießen",Lehmann,peter.langern@lehmann.com,+49(0)6490 87510,11.05.2000
Herr,,Max,Stiebitz,"Antonietta-Stiffel-Allee 76, 63666 Stollberg",Stolze GmbH,max.stiebitz@stolzegmbh.com,+49(0)4885 21305,16.08.2004
Herr,,Michael,Hendriks,"Luigi-Gierschner-Weg 31, 12729 Klötze",Staude GmbH,michael.hendriks@staude_gmbh.eu,+49(0)6066 695196,01.08.1953
Herr,,Markus,Wohlgemut,"Annita-Walter-Weg 63, 65978 Staßfurt",Steinberg KG,markus.wohlgemut@steinbergkg.de,+49(0)6750 15699,26.10.1966
Herr,,Lucas,Langern,"Seifertring 80, 01788 Kulmbach",Martin KG,lucas.langern@martin_kg.de,(01356) 33462,26.03.1988
Frau,,Laura,Köhler,"Karla-Rörricht-Platz 26, 25558 Hammelburg",Rohleder GbR,laura.koehler@rohleder-gbr.com,(02190) 025342,19.08.2003
Herr,,Jonas,Siering,"Hövelgasse 31, 46509 Eckernförde",Neuschäfer Ruppert AG,jonas.siering@neuschaefer_ruppert.com,08544 74606,19.12.1963
Herr,,Markus,Plath,"Kreuselstraße 38, 86757 Schwäbisch Gmünd",Paffrath Albers KGaA,markus.plath@paffrath_albers.com,+49(0)7887 12225,16.06.1965
Frau,,Antje,Bärer,"Siegbert-Ruppert-Weg 42, 19529 Kehl",Schuster Stiftung & Co. KGaA,antje.baerer@schuster_stiftung.de,+49(0) 718613092,27.03.1975
Frau,,Sophie,Stroh,"Eitel-Schulz-Straße 33, 95297 Northeim",Bohlander GmbH & Co. KG,sophie.stroh@bohlander-gmbh.eu,(01114) 585653,11.06.1964
Frau,Prof. Dr.,Anna,Jäkel,"Marit-Löwer-Weg 74, 84466 Lobenstein",Karz,anna.jaekel@karz.com,+49(0) 868240126,27.04.1971
Herr,,Jonas,Hauffer,"Hedy-Röhricht-Straße 63, 84825 Erding",Becker,jonas.hauffer@becker.de,+49 (0) 1157 690047,22.12.1972
